resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3
1138,Barrie CMA,ON,L4N,91,61,15
1139,Barrie CMA,ON,L4N,91,43,21
1140,Barrie CMA,ON,L4N,90,67,<15
1141,Barrie CMA,ON,L4N,113,30,<15
1142,Barrie CMA,ON,L4N,126,<15,<15
1143,Barrie CMA,ON,L4N,94,69,<15
1144,Barrie CMA,ON,L4N,91,175,<15
1145,Barrie CMA,ON,L4N,90,32,21
1146,Barrie CMA,ON,L4N,91,86,17
1147,Barrie CMA,ON,L4N,91,74,<15
1148,Barrie CMA,ON,L4N,133,36,<15
1149,Barrie CMA,ON,L4N,91,83,<15
1150,Barrie CMA,ON,L4N,94,87,<15
1151,Barrie CMA,ON,L4N,92,38,<15
1152,Barrie CMA,ON,L4N,107,17,<15
1153,Barrie CMA,ON,L4N,90,132,<15
1154,Barrie CMA,ON,L4N,95,98,<15
1155,Barrie CMA,ON,L4N,110,40,<15
1156,Barrie CMA,ON,L4N,82,92,39
1157,Barrie CMA,ON,L4N,71,94,<15
1158,Barrie CMA,ON,L4N,128,37,134
1159,Barrie CMA,ON,L4N,104,39,<15
1160,Barrie CMA,ON,L4N,98,64,<15
1161,Barrie CMA,ON,L4N,114,133,<15
1162,Barrie CMA,ON,L4N,91,36,<15
1163,Barrie CMA,ON,L4N,99,38,<15
1164,Barrie CMA,ON,L4N,91,22,<15
1165,Barrie CMA,ON,L4N,102,43,<15
1166,Barrie CMA,ON,L4N,91,23,<15
1167,Barrie CMA,ON,L4N,111,34,<15
1168,Barrie CMA,ON,L4N,129,56,<15
1169,Barrie CMA,ON,L4N,91,100,<15
1170,Barrie CMA,ON,L4N,136,76,<15
1171,Barrie CMA,ON,L4N,96,77,<15
1172,Barrie CMA,ON,L4N,103,61,<15
1173,Barrie CMA,ON,L4N,99,98,<15
1174,Barrie CMA,ON,L4N,92,60,18
1175,Barrie CMA,ON,L4N,99,52,<15
1176,Barrie CMA,ON,L4N,91,61,<15
1177,Barrie CMA,ON,L4N,93,91,<15
1178,Barrie CMA,ON,L4N,91,85,<15
1179,Barrie CMA,ON,L4N,91,72,<15
1180,Barrie CMA,ON,L4N,97,49,<15
1181,Barrie CMA,ON,L4N,90,51,23
1182,Barrie CMA,ON,L4N,93,29,<15
1183,Barrie CMA,ON,L4N,114,87,33
1184,Brantford CMA,ON,*,99,21,35
1185,Brantford CMA,ON,N3L,92,87,<15
1186,Brantford CMA,ON,N3L,102,106,<15
1187,Brantford CMA,ON,N3L,90,141,16
1188,Brantford CMA,ON,N3L,93,137,16
1189,Brantford CMA,ON,N3L,117,272,<15
1190,Brantford CMA,ON,N3L,106,461,56
1191,Brantford CMA,ON,N3L,96,470,<15
1192,Brantford CMA,ON,N3L,92,108,<15
1193,Brantford CMA,ON,N3L,90,250,<15
1194,Brantford CMA,ON,N3L,92,119,<15
1195,Brantford CMA,ON,N3L,92,308,<15
1196,Brantford CMA,ON,N3L,90,241,<15
1197,Brantford CMA,ON,N3L,91,218,31
1198,Brantford CMA,ON,N3L,91,174,<15
1199,Brantford CMA,ON,N3L,95,135,23
1200,Brantford CMA,ON,N3P,91,<15,<15
1201,Brantford CMA,ON,N3P,90,<15,77
1202,Brantford CMA,ON,N3P,97,91,<15
1203,Brantford CMA,ON,N3P,91,43,<15
1204,Brantford CMA,ON,N3P,94,64,<15
1205,Brantford CMA,ON,N3P,102,105,<15
1206,Brantford CMA,ON,N3P,98,124,<15
1207,Brantford CMA,ON,N3P,118,130,<15
1208,Brantford CMA,ON,N3P,96,52,<15
1209,Brantford CMA,ON,N3P,99,40,<15
1210,Brantford CMA,ON,N3P,99,35,<15
1211,Brantford CMA,ON,N3P,100,194,<15
1212,Brantford CMA,ON,N3P,91,35,<15
1213,Brantford CMA,ON,N3R,91,61,18
1214,Brantford CMA,ON,N3R,85,60,<15
1215,Brantford CMA,ON,N3R,93,62,25
1216,Brantford CMA,ON,N3R,122,97,<15
1217,Brantford CMA,ON,N3R,119,164,<15
1218,Brantford CMA,ON,N3R,91,63,<15
1219,Brantford CMA,ON,N3R,90,70,<15
1220,Brantford CMA,ON,N3R,91,114,<15
1221,Brantford CMA,ON,N3R,91,73,<15
1222,Brantford CMA,ON,N3R,91,239,<15
1223,Brantford CMA,ON,N3R,91,72,<15
1224,Brantford CMA,ON,N3R,88,46,<15
1225,Brantford CMA,ON,N3R,91,47,<15
1226,Brantford CMA,ON,N3R,94,29,<15
1227,Brantford CMA,ON,N3R,90,133,<15
1228,Brantford CMA,ON,N3R,91,22,<15
1229,Brantford CMA,ON,N3R,90,183,<15
1230,Brantford CMA,ON,N3R,91,42,<15
1231,Brantford CMA,ON,N3R,99,81,<15
1232,Brantford CMA,ON,N3R,97,61,25
1233,Brantford CMA,ON,N3S,101,178,<15
1234,Brantford CMA,ON,N3S,103,67,<15
1235,Brantford CMA,ON,N3S,136,34,20
1236,Brantford CMA,ON,N3S,92,34,<15
1237,Brantford CMA,ON,N3S,91,75,<15
1238,Brantford CMA,ON,N3S,91,30,55
1239,Brantford CMA,ON,N3S,117,28,<15
1240,Brantford CMA,ON,N3S,92,62,<15
1241,Brantford CMA,ON,N3S,97,199,18
1242,Brantford CMA,ON,N3S,62,38,22
1243,Brantford CMA,ON,N3S,90,88,<15
1244,Brantford CMA,ON,N3S,92,31,69
1245,Brantford CMA,ON,N3S,89,35,17
1246,Brantford CMA,ON,N3S,104,31,72
1247,Brantford CMA,ON,N3S,91,<15,111
1248,Brantford CMA,ON,N3S,91,39,<15
1249,Brantford CMA,ON,N3T,93,59,<15
1250,Brantford CMA,ON,N3T,92,41,16
1251,Brantford CMA,ON,N3T,96,56,<15
1252,Brantford CMA,ON,N3T,116,369,<15
1253,Brantford CMA,ON,N3T,90,54,<15
1254,Brantford CMA,ON,N3T,90,71,<15
1255,Brantford CMA,ON,N3T,91,53,N/A
1256,Brantford CMA,ON,N3T,92,48,17
1257,Brantford CMA,ON,N3T,84,56,<15
1258,Brantford CMA,ON,N3T,91,79,29
1259,Brantford CMA,ON,N3T,91,396,<15
1260,Brantford CMA,ON,N3T,92,82,<15
1261,Brantford CMA,ON,N3T,92,150,<15
1262,Brantford CMA,ON,N3T,91,98,<15
1263,Brantford CMA,ON,N3T,91,118,<15
1264,Brantford CMA,ON,N3T,94,55,<15
1265,Brantford CMA,ON,N3T,91,72,<15
1266,Brantford CMA,ON,N3T,90,225,<15
1267,Brantford CMA,ON,N3T,95,61,<15
1268,Brantford CMA,ON,N3T,97,148,<15
1269,Brantford CMA,ON,N3T,103,46,<15
1270,Brantford CMA,ON,N3T,95,46,<15
1271,Brantford CMA,ON,N3T,94,237,<15
1272,Greater Sudbury CMA,ON,P3A,91,129,<15
1273,Greater Sudbury CMA,ON,P3A,90,27,<15
1274,Greater Sudbury CMA,ON,P3A,91,158,<15
1275,Greater Sudbury CMA,ON,P3A,92,64,<15
1276,Greater Sudbury CMA,ON,P3A,109,90,<15
1277,Greater Sudbury CMA,ON,P3A,94,108,<15
1278,Greater Sudbury CMA,ON,P3A,95,49,<15
1279,Greater Sudbury CMA,ON,P3A,90,108,<15
1280,Greater Sudbury CMA,ON,P3A,91,139,<15
1281,Greater Sudbury CMA,ON,P3A,92,165,<15
1282,Greater Sudbury CMA,ON,P3A,93,108,<15
1283,Greater Sudbury CMA,ON,P3A,94,71,<15
1284,Greater Sudbury CMA,ON,P3A,91,65,<15
1285,Greater Sudbury CMA,ON,P3A,102,134,20
1286,Greater Sudbury CMA,ON,P3A,100,92,<15
1287,Greater Sudbury CMA,ON,P3A,86,153,<15
1288,Greater Sudbury CMA,ON,P3A,93,60,<15
1289,Greater Sudbury CMA,ON,P3A,99,91,<15
1290,Greater Sudbury CMA,ON,P3A,87,67,<15
1291,Greater Sudbury CMA,ON,P3A,159,137,<15
1292,Greater Sudbury CMA,ON,P3A,91,65,16
1293,Greater Sudbury CMA,ON,P3A,99,324,<15
1294,Greater Sudbury CMA,ON,P3A,90,93,<15
1295,Greater Sudbury CMA,ON,P3A,91,85,<15
1296,Greater Sudbury CMA,ON,P3A,117,45,<15
1297,Greater Sudbury CMA,ON,P3A,93,57,<15
1298,Greater Sudbury CMA,ON,P3B,92,298,<15
1299,Greater Sudbury CMA,ON,P3B,97,33,23
1300,Greater Sudbury CMA,ON,P3B,110,106,<15
1301,Greater Sudbury CMA,ON,P3B,90,63,<15
1302,Greater Sudbury CMA,ON,P3B,91,66,<15
1303,Greater Sudbury CMA,ON,P3B,61,150,N/A
1304,Greater Sudbury CMA,ON,P3B,91,87,N/A
1305,Greater Sudbury CMA,ON,P3B,92,112,<15
1306,Greater Sudbury CMA,ON,P3B,91,100,<15
1307,Greater Sudbury CMA,ON,P3B,93,85,<15
1308,Greater Sudbury CMA,ON,P3B,111,174,21
1309,Greater Sudbury CMA,ON,P3B,107,103,<15
1310,Greater Sudbury CMA,ON,P3B,103,24,<15
1311,Greater Sudbury CMA,ON,P3B,111,93,17
1312,Greater Sudbury CMA,ON,P3B,122,192,<15
1313,Greater Sudbury CMA,ON,P3B,91,218,<15
1314,Greater Sudbury CMA,ON,P3B,96,248,<15
1315,Greater Sudbury CMA,ON,P3C,91,68,<15
1316,Greater Sudbury CMA,ON,P3C,91,33,<15
1317,Greater Sudbury CMA,ON,P3C,107,90,38
1318,Greater Sudbury CMA,ON,P3C,99,77,<15
1319,Greater Sudbury CMA,ON,P3C,91,190,<15
1320,Greater Sudbury CMA,ON,P3C,109,31,<15
1321,Greater Sudbury CMA,ON,P3C,115,124,<15
1322,Greater Sudbury CMA,ON,P3C,92,98,<15
1323,Greater Sudbury CMA,ON,P3C,94,69,<15
1324,Greater Sudbury CMA,ON,P3C,91,196,<15
1325,Greater Sudbury CMA,ON,P3C,96,58,30
1326,Greater Sudbury CMA,ON,P3C,91,85,21
1327,Greater Sudbury CMA,ON,P3C,104,124,<15
1328,Greater Sudbury CMA,ON,P3C,103,47,<15
1329,Greater Sudbury CMA,ON,P3C,102,150,<15
1330,Greater Sudbury CMA,ON,P3C,169,16,<15
1331,Greater Sudbury CMA,ON,P3C,94,88,<15
1332,Greater Sudbury CMA,ON,P3C,92,454,27
1333,Greater Sudbury CMA,ON,P3E,99,201,<15
1334,Greater Sudbury CMA,ON,P3E,91,88,<15
1335,Greater Sudbury CMA,ON,P3E,94,222,<15
1336,Greater Sudbury CMA,ON,P3E,90,232,<15
1337,Greater Sudbury CMA,ON,P3E,90,70,16
1338,Greater Sudbury CMA,ON,P3E,91,42,<15
1339,Greater Sudbury CMA,ON,P3E,91,102,<15
1340,Greater Sudbury CMA,ON,P3E,91,267,103
1341,Greater Sudbury CMA,ON,P3E,92,60,<15
1342,Greater Sudbury CMA,ON,P3E,90,26,23
1343,Greater Sudbury CMA,ON,P3E,96,88,<15
1344,Greater Sudbury CMA,ON,P3E,90,94,<15
1345,Greater Sudbury CMA,ON,P3E,91,24,<15
1346,Greater Sudbury CMA,ON,P3E,93,112,<15
1347,Greater Sudbury CMA,ON,P3E,91,205,<15
1348,Greater Sudbury CMA,ON,P3E,98,736,<15
1349,Greater Sudbury CMA,ON,P3E,91,143,<15
1350,Greater Sudbury CMA,ON,P3E,98,289,<15
1351,Greater Sudbury CMA,ON,P3E,94,121,<15
1352,Greater Sudbury CMA,ON,P3E,96,125,<15
1353,Greater Sudbury CMA,ON,P3E,91,607,<15
1354,Greater Sudbury CMA,ON,P3G,95,106,<15
1355,Greater Sudbury CMA,ON,P3G,101,196,<15
1356,Greater Sudbury CMA,ON,P3G,121,87,<15
1357,Greater Sudbury CMA,ON,P3G,91,88,<15
1358,Greater Sudbury CMA,ON,P3G,91,24,<15
1359,Greater Sudbury CMA,ON,P3G,100,206,<15
1360,Greater Sudbury CMA,ON,P3G,91,120,<15
1361,Greater Sudbury CMA,ON,P3G,91,153,<15
1362,Greater Sudbury CMA,ON,P3G,94,384,<15
1363,Greater Sudbury CMA,ON,P3G,92,145,<15
1364,Greater Sudbury CMA,ON,P3G,91,70,<15
1365,Greater Sudbury CMA,ON,P3G,91,62,<15
1366,Guelph CMA,ON,N1C,91,125,<15
1367,Guelph CMA,ON,N1C,97,45,<15
1368,Guelph CMA,ON,N1C,83,311,<15
1369,Guelph CMA,ON,N1C,92,107,<15
1370,Guelph CMA,ON,N1C,90,44,<15
1371,Guelph CMA,ON,N1C,91,28,<15
1372,Guelph CMA,ON,N1C,95,81,16
1373,Guelph CMA,ON,N1C,105,98,<15
1374,Guelph CMA,ON,N1C,66,42,<15
1375,Guelph CMA,ON,N1C,96,37,<15
1376,Guelph CMA,ON,N1C,91,39,<15
1377,Guelph CMA,ON,N1C,94,34,19
1378,Guelph CMA,ON,N1C,93,56,<15
1379,Guelph CMA,ON,N1C,98,57,<15
1380,Guelph CMA,ON,N1E,95,89,<15
1381,Guelph CMA,ON,N1E,109,23,<15
1382,Guelph CMA,ON,N1E,91,129,<15
1383,Guelph CMA,ON,N1E,90,22,15
1384,Guelph CMA,ON,N1E,91,43,<15
1385,Guelph CMA,ON,N1E,91,78,<15
1386,Guelph CMA,ON,N1E,122,18,<15
1387,Guelph CMA,ON,N1E,92,175,<15
1388,Guelph CMA,ON,N1E,99,52,17
1389,Guelph CMA,ON,N1E,92,131,<15
1390,Guelph CMA,ON,N1E,92,211,<15
1391,Guelph CMA,ON,N1E,130,91,<15
1392,Guelph CMA,ON,N1E,92,228,<15
1393,Guelph CMA,ON,N1E,91,81,<15
1394,Guelph CMA,ON,N1E,109,56,<15
1395,Guelph CMA,ON,N1E,99,57,28
1396,Guelph CMA,ON,N1E,95,48,20
1397,Guelph CMA,ON,N1E,93,29,<15
1398,Guelph CMA,ON,N1G,102,38,<15
1399,Guelph CMA,ON,N1G,100,50,<15
1400,Guelph CMA,ON,N1G,104,196,<15
1401,Guelph CMA,ON,N1G,91,984,<15
1402,Guelph CMA,ON,N1G,93,166,<15
1403,Guelph CMA,ON,N1G,123,54,<15
1404,Guelph CMA,ON,N1G,91,80,<15
1405,Guelph CMA,ON,N1G,90,298,<15
1406,Guelph CMA,ON,N1G,91,150,29
1407,Guelph CMA,ON,N1G,91,39,<15
1408,Guelph CMA,ON,N1G,91,69,<15
1409,Guelph CMA,ON,N1G,92,42,<15
1410,Guelph CMA,ON,N1G,92,73,<15
1411,Guelph CMA,ON,N1G,91,93,16
1412,Guelph CMA,ON,N1G,104,54,<15
1413,Guelph CMA,ON,N1G,104,95,<15
1414,Guelph CMA,ON,N1G,92,128,20
1415,Guelph CMA,ON,N1H,91,74,<15
1416,Guelph CMA,ON,N1H,93,24,<15
1417,Guelph CMA,ON,N1H,126,44,89
1418,Guelph CMA,ON,N1H,91,58,<15
1419,Guelph CMA,ON,N1H,92,71,<15
1420,Guelph CMA,ON,N1H,101,73,22
1421,Guelph CMA,ON,N1H,121,55,<15
1422,Guelph CMA,ON,N1H,93,51,16
1423,Guelph CMA,ON,N1H,101,42,<15
1424,Guelph CMA,ON,N1H,96,51,<15
1425,Guelph CMA,ON,N1H,97,399,<15
1426,Guelph CMA,ON,N1H,146,107,<15
1427,Guelph CMA,ON,N1H,91,882,<15
1428,Guelph CMA,ON,N1H,91,84,<15
1429,Guelph CMA,ON,N1H,91,405,<15
1430,Guelph CMA,ON,N1H,91,66,<15
1431,Guelph CMA,ON,N1H,92,141,22
1432,Guelph CMA,ON,N1H,97,49,<15
1433,Guelph CMA,ON,N1H,91,52,<15
1434,Guelph CMA,ON,N1H,93,38,17
1435,Guelph CMA,ON,N1H,91,66,<15
1436,Guelph CMA,ON,N1H,91,61,<15
1437,Guelph CMA,ON,N1H,90,84,<15
1438,Guelph CMA,ON,N1H,90,47,<15
1439,Guelph CMA,ON,N1H,91,236,<15
1440,Guelph CMA,ON,N1K,91,92,<15
1441,Guelph CMA,ON,N1K,90,63,<15
1442,Guelph CMA,ON,N1K,91,39,<15
1443,Guelph CMA,ON,N1K,91,72,<15
1444,Guelph CMA,ON,N1K,91,58,<15
1445,Guelph CMA,ON,N1K,92,34,<15
1446,Guelph CMA,ON,N1K,167,80,<15
1447,Guelph CMA,ON,N1K,95,59,<15
1448,Guelph CMA,ON,N1K,90,68,<15
1449,Guelph CMA,ON,N1K,60,120,<15
1450,Guelph CMA,ON,N1K,122,82,<15
1451,Guelph CMA,ON,N1K,96,29,<15
1452,Guelph CMA,ON,N1L,92,59,19
1453,Guelph CMA,ON,N1L,90,71,<15
1454,Guelph CMA,ON,N1L,91,432,<15
1455,Guelph CMA,ON,N1L,90,202,<15
1456,Guelph CMA,ON,N1L,92,240,<15
1457,Guelph CMA,ON,N1L,150,154,<15
1458,Guelph CMA,ON,N1L,100,284,<15
1459,Guelph CMA,ON,N1L,92,378,<15
1460,Guelph CMA,ON,N1L,113,166,<15
1461,Guelph CMA,ON,N1L,91,407,<15
1462,Guelph CMA,ON,N1L,105,379,<15
1463,Guelph CMA,ON,N1L,91,399,<15
1464,Guelph CMA,ON,N1L,105,207,<15
1465,Guelph CMA,ON,N1L,121,221,<15
1466,Guelph CMA,ON,N1L,91,281,<15
1467,Hamilton CMA,ON,L8E,111,24,<15
1468,Hamilton CMA,ON,L8E,102,90,<15
1469,Hamilton CMA,ON,L8E,93,52,<15
1470,Hamilton CMA,ON,L8G,91,160,<15
1471,Hamilton CMA,ON,L8G,60,82,<15
1472,Hamilton CMA,ON,L8G,91,45,<15
1473,Hamilton CMA,ON,L8H,124,32,<15
1474,Hamilton CMA,ON,L8H,90,26,<15
1475,Hamilton CMA,ON,L8H,201,158,<15
1476,Hamilton CMA,ON,L8J,91,23,<15
1477,Hamilton CMA,ON,L8J,101,23,<15
1478,Hamilton CMA,ON,L8J,93,69,<15
1479,Hamilton CMA,ON,L8J,91,96,<15
1480,Hamilton CMA,ON,L8J,91,84,<15
1481,Hamilton CMA,ON,L8J,92,36,<15
1482,Hamilton CMA,ON,L8K,91,36,<15
1483,Hamilton CMA,ON,L8K,91,83,17
1484,Hamilton CMA,ON,L8K,101,52,<15
1485,Hamilton CMA,ON,L8K,95,36,<15
1486,Hamilton CMA,ON,L8L,91,18,<15
1487,Hamilton CMA,ON,L8L,101,34,<15
1488,Hamilton CMA,ON,L8L,92,20,<15
1489,Hamilton CMA,ON,L8L,93,38,<15
1490,Hamilton CMA,ON,L8M,92,46,<15
1491,Hamilton CMA,ON,L8M,91,73,<15
1492,Hamilton CMA,ON,L8N,91,41,<15
1493,Hamilton CMA,ON,L8N,97,63,<15
1494,Hamilton CMA,ON,L8N,90,69,<15
1495,Hamilton CMA,ON,L8N,101,38,<15
1496,Hamilton CMA,ON,L8N,95,40,<15
1497,Hamilton CMA,ON,L8N,91,195,<15
1498,Hamilton CMA,ON,L8P,91,55,<15
1499,Hamilton CMA,ON,L8P,93,44,<15
1500,Hamilton CMA,ON,L8P,113,32,18
1501,Hamilton CMA,ON,L8P,103,51,<15
1502,Hamilton CMA,ON,L8P,97,59,17
1503,Hamilton CMA,ON,L8R,90,25,<15
1504,Hamilton CMA,ON,L8R,94,55,21
1505,Hamilton CMA,ON,L8R,92,118,180
1506,Hamilton CMA,ON,L8S,97,169,<15
1507,Hamilton CMA,ON,L8S,138,117,<15
1508,Hamilton CMA,ON,L8S,91,115,21
1509,Hamilton CMA,ON,L8S,97,69,19
1510,Hamilton CMA,ON,L8T,90,77,<15
1511,Hamilton CMA,ON,L8T,156,116,<15
1512,Hamilton CMA,ON,L8T,95,215,26
1513,Hamilton CMA,ON,L8T,93,133,<15
1514,Hamilton CMA,ON,L8T,90,50,<15
1515,Hamilton CMA,ON,L8V,91,57,22
1516,Hamilton CMA,ON,L8V,92,115,<15
1517,Hamilton CMA,ON,L8V,90,33,17
1518,Hamilton CMA,ON,L8V,94,62,<15
1519,Hamilton CMA,ON,L8V,102,33,<15
1520,Hamilton CMA,ON,L8W,92,51,<15
1521,Hamilton CMA,ON,L8W,91,88,<15
1522,Hamilton CMA,ON,L8W,91,248,<15
1523,Hamilton CMA,ON,L8W,91,58,<15
1524,Hamilton CMA,ON,L9A,91,72,<15
1525,Hamilton CMA,ON,L9A,92,66,<15
1526,Hamilton CMA,ON,L9A,97,41,<15
1527,Hamilton CMA,ON,L9A,91,96,<15
1528,Hamilton CMA,ON,L9A,97,75,<15
1529,Hamilton CMA,ON,L9B,107,78,<15
1530,Hamilton CMA,ON,L9B,92,87,<15
1531,Hamilton CMA,ON,L9B,91,59,<15
1532,Hamilton CMA,ON,L9C,90,61,<15
1533,Hamilton CMA,ON,L9C,126,34,47
1534,Hamilton CMA,ON,L9C,90,363,<15
1535,Hamilton CMA,ON,L9C,90,116,<15
1536,Hamilton CMA,ON,L9C,94,398,<15
1537,Hamilton CMA,ON,L9C,95,83,<15
1538,Hamilton CMA,ON,L9G,91,133,<15
1539,Hamilton CMA,ON,L9G,96,160,<15
1540,Hamilton CMA,ON,L9G,92,149,<15
1541,Hamilton CMA,ON,L9G,152,59,<15
1542,Hamilton CMA,ON,L9G,94,45,<15
1543,Hamilton CMA,ON,L9G,92,54,24
1544,Hamilton CMA,ON,L9H,97,103,<15
1545,Hamilton CMA,ON,L9H,92,176,<15
1546,Hamilton CMA,ON,L9H,104,216,<15
1547,Hamilton CMA,ON,L9H,113,104,<15
1548,Hamilton CMA,ON,L9H,91,145,<15
1549,Hamilton CMA,ON,L9K,92,39,<15
1550,Hamilton CMA,ON,L9K,91,49,<15
1551,Hamilton CMA,ON,L9K,96,35,<15
1552,Hamilton CMA,ON,L9K,92,99,<15
1553,Hamilton CMA,ON,L9K,97,61,<15
1554,Kingston CMA,ON,K7K,93,134,29
1555,Kingston CMA,ON,K7K,91,167,<15
1556,Kingston CMA,ON,K7K,91,92,71
1557,Kingston CMA,ON,K7K,94,50,73
1558,Kingston CMA,ON,K7K,94,75,<15
1559,Kingston CMA,ON,K7K,95,101,16
1560,Kingston CMA,ON,K7K,93,36,<15
1561,Kingston CMA,ON,K7K,94,93,<15
1562,Kingston CMA,ON,K7K,91,352,<15
1563,Kingston CMA,ON,K7K,91,83,<15
1564,Kingston CMA,ON,K7K,100,130,<15
1565,Kingston CMA,ON,K7K,104,99,<15
1566,Kingston CMA,ON,K7K,97,27,<15
1567,Kingston CMA,ON,K7K,102,128,<15
1568,Kingston CMA,ON,K7K,92,186,<15
1569,Kingston CMA,ON,K7K,105,328,<15
1570,Kingston CMA,ON,K7K,91,78,<15
1571,Kingston CMA,ON,K7K,91,124,24
1572,Kingston CMA,ON,K7K,91,329,<15
1573,Kingston CMA,ON,K7K,95,170,<15
1574,Kingston CMA,ON,K7K,82,92,<15
1575,Kingston CMA,ON,K7K,91,94,<15
1576,Kingston CMA,ON,K7K,90,213,20
1577,Kingston CMA,ON,K7L,91,57,<15
1578,Kingston CMA,ON,K7L,91,67,<15
1579,Kingston CMA,ON,K7L,96,93,<15
1580,Kingston CMA,ON,K7L,92,101,<15
1581,Kingston CMA,ON,K7L,91,31,22
1582,Kingston CMA,ON,K7L,96,134,<15
1583,Kingston CMA,ON,K7L,93,74,<15
1584,Kingston CMA,ON,K7L,90,96,34
1585,Kingston CMA,ON,K7L,123,152,<15
1586,Kingston CMA,ON,K7L,91,89,<15
1587,Kingston CMA,ON,K7L,91,70,<15
1588,Kingston CMA,ON,K7L,91,97,18
1589,Kingston CMA,ON,K7L,94,29,<15
1590,Kingston CMA,ON,K7L,91,88,<15
1591,Kingston CMA,ON,K7L,92,28,<15
1592,Kingston CMA,ON,K7L,90,58,<15
1593,Kingston CMA,ON,K7L,97,237,<15
1594,Kingston CMA,ON,K7L,91,49,<15
1595,Kingston CMA,ON,K7L,97,198,<15
1596,Kingston CMA,ON,K7L,95,271,<15
1597,Kingston CMA,ON,K7L,90,283,<15
1598,Kingston CMA,ON,K7M,91,50,25
1599,Kingston CMA,ON,K7M,90,117,<15
1600,Kingston CMA,ON,K7M,91,210,<15
1601,Kingston CMA,ON,K7M,118,114,<15
1602,Kingston CMA,ON,K7M,93,79,<15
1603,Kingston CMA,ON,K7M,93,168,27
1604,Kingston CMA,ON,K7M,120,151,<15
1605,Kingston CMA,ON,K7M,93,66,<15
1606,Kingston CMA,ON,K7M,91,366,<15
1607,Kingston CMA,ON,K7M,127,463,<15
1608,Kingston CMA,ON,K7M,93,175,31
1609,Kingston CMA,ON,K7M,91,40,<15
1610,Kingston CMA,ON,K7M,139,180,<15
1611,Kingston CMA,ON,K7M,102,154,<15
1612,Kingston CMA,ON,K7M,95,192,<15
1613,Kingston CMA,ON,K7M,92,53,<15
1614,Kingston CMA,ON,K7M,121,<15,<15
1615,Kingston CMA,ON,K7M,170,94,<15
1616,Kingston CMA,ON,K7M,91,624,N/A
1617,Kingston CMA,ON,K7M,91,528,24
1618,Kingston CMA,ON,K7M,92,205,<15
1619,Kingston CMA,ON,K7M,94,371,<15
1620,Kingston CMA,ON,K7M,92,123,19
1621,Kingston CMA,ON,K7M,131,71,<15
1622,Kingston CMA,ON,K7N,92,286,<15
1623,Kingston CMA,ON,K7N,142,206,<15
1624,Kingston CMA,ON,K7N,90,154,<15
1625,Kingston CMA,ON,K7N,93,131,<15
1626,Kingston CMA,ON,K7N,96,17,<15
1627,Kingston CMA,ON,K7N,99,362,24
1628,Kingston CMA,ON,K7N,94,123,17
1629,Kingston CMA,ON,K7N,91,205,34
1630,Kingston CMA,ON,K7N,96,149,<15
1631,Kingston CMA,ON,K7N,99,116,<15
1632,Kingston CMA,ON,K7N,91,550,102
1633,Kingston CMA,ON,K7P,152,80,<15
1634,Kingston CMA,ON,K7P,91,149,27
1635,Kingston CMA,ON,K7P,92,179,31
1636,Kingston CMA,ON,K7P,100,53,<15
1637,Kingston CMA,ON,K7P,99,291,<15
1638,Kingston CMA,ON,K7P,91,130,<15
1639,Kingston CMA,ON,K7P,96,222,<15
1640,Kingston CMA,ON,K7P,91,118,27
1641,Kingston CMA,ON,K7P,94,346,<15
1642,Kingston CMA,ON,K7P,91,130,<15
1643,Kingston CMA,ON,K7P,91,308,<15
1644,Kingston CMA,ON,K7P,91,116,<15
1645,Kingston CMA,ON,K7P,91,55,<15
1646,Kingston CMA,ON,K7P,96,123,<15
1647,Kingston CMA,ON,K7P,93,233,<15
1648,Kingston CMA,ON,K7P,91,205,<15
1649,Kingston CMA,ON,K7P,92,179,<15
1650,Kitchener CMA,ON,N2A,97,95,<15
1651,Kitchener CMA,ON,N2A,91,89,<15
1652,Kitchener CMA,ON,N2A,100,87,<15
1653,Kitchener CMA,ON,N2A,94,50,<15
1654,Kitchener CMA,ON,N2A,115,43,49
1655,Kitchener CMA,ON,N2A,100,62,<15
1656,Kitchener CMA,ON,N2A,91,76,172
1657,Kitchener CMA,ON,N2B,92,147,<15
1658,Kitchener CMA,ON,N2B,91,47,<15
1659,Kitchener CMA,ON,N2B,93,49,<15
1660,Kitchener CMA,ON,N2B,103,68,<15
1661,Kitchener CMA,ON,N2B,92,58,<15
1662,Kitchener CMA,ON,N2B,93,41,<15
1663,Kitchener CMA,ON,N2C,92,90,16
1664,Kitchener CMA,ON,N2C,130,92,<15
1665,Kitchener CMA,ON,N2C,99,39,<15
1666,Kitchener CMA,ON,N2C,92,80,<15
1667,Kitchener CMA,ON,N2C,91,33,15
1668,Kitchener CMA,ON,N2C,108,51,<15
1669,Kitchener CMA,ON,N2C,101,69,<15
1670,Kitchener CMA,ON,N2E,106,114,<15
1671,Kitchener CMA,ON,N2E,91,87,21
1672,Kitchener CMA,ON,N2E,94,47,27
1673,Kitchener CMA,ON,N2E,95,65,<15
1674,Kitchener CMA,ON,N2E,130,36,<15
1675,Kitchener CMA,ON,N2E,113,76,<15
1676,Kitchener CMA,ON,N2E,98,59,<15
1677,Kitchener CMA,ON,N2E,91,72,<15
